experiment,target_molecule,strain,plasmid,clone_detail,condition,fill_volume,shake_speed_rpm,vessel,tempt,chorismate,salicylic_acid,od_init,od_final,mu,time,resting_condition
LV222,Salicylic Acid,DBE007,NONE,Control,glycerol,0.6,1000,96WP,32.5,47,0,0.505,13.233,0.15,22,no
LV222,Salicylic Acid,DBE007,NONE,Control,glycerol,0.6,1000,96WP,32.5,24,0,0.478,13.183,0.15,22,no
LV222,Salicylic Acid,DBE007,NONE,Control,glycerol,0.6,1000,96WP,32.5,58,0,0.438,13.295,0.16,22,no
LV222,Salicylic Acid,DBE1634,NONE,Parent,glycerol,0.6,1000,96WP,32.5,33,0,0.528,13.428,0.15,22,no
LV222,Salicylic Acid,DBE1634,NONE,Parent,glycerol,0.6,1000,96WP,32.5,79,0,0.497,13.297,0.15,22,no
LV222,Salicylic Acid,DBE1634,NONE,Parent,glycerol,0.6,1000,96WP,32.5,103,0,0.452,13.752,0.16,22,no
LV222,Salicylic Acid,DBE1634,pDB1508,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,320,0.712,13.842,0.13,22,no
LV222,Salicylic Acid,DBE1634,pDB1508,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,310,0.774,14.347,0.13,22,no
LV222,Salicylic Acid,DBE1634,pDB1508,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,332,0.719,14.023,0.14,22,no
LV222,Salicylic Acid,DBE1634,pDB1510,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,1262,0.538,13.326,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDB1510,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,1348,0.538,13.23,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDB1510,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,1316,0.502,13.195,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDB1511,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,4238,0.495,12.807,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDB1511,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,4004,0.488,11.802,0.14,22,no
LV222,Salicylic Acid,DBE1634,pDB1511,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,3876,0.502,11.793,0.14,22,no
LV222,Salicylic Acid,DBE1634,pDBE1513,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,128,0.721,6.785,0.1,22,no
LV222,Salicylic Acid,DBE1634,pDBE1513,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,156,0.538,13.952,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDBE1513,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,166,0.536,14.568,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDBE1514,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,1550,0.545,13.552,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDBE1514,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,1534,0.481,13.173,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDBE1514,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,1670,0.443,13.637,0.16,22,no
LV222,Salicylic Acid,DBE1634,pDBE1515,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,1926,0.509,12.364,0.14,22,no
LV222,Salicylic Acid,DBE1634,pDBE1515,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,2058,0.512,12.759,0.15,22,no
LV222,Salicylic Acid,DBE1634,pDBE1515,dbe007_dtyrr,glycerol,0.6,1000,96WP,32.5,0,2522,0.486,12.626,0.15,22,no
